d2,d3,d5
-492.5326220343263,-903.4193957418714,-1606.111542136882
-455.51171905710476,-832.1340537552503,-1467.3743182397811
-471.74645818081603,-936.1119168381073,-1295.1349022946838
-365.20882422354003,-938.9725643595784,-1623.6207125422372
-471.61179853346573,-771.562692715654,-1494.0375591701943
-441.3446451429245,-890.3911343177529,-1415.7322587258757
-468.3403996184195,-637.5728094184822,-1627.5091091497247
-495.2123036129684,-936.4307470790534,-1401.0366681219755
-492.8407396626651,-848.6605396728852,-1180.4499831418966
-379.869018644185,-580.6698121669435,-1406.8855462397623
-473.1701841834419,-929.579923158114,-1437.4269074069402
-472.4669192320827,-966.1502921448964,-1630.5297624704058
-409.4562300624633,-892.3303583633003,-1588.529248496251
-500.8506511427521,-681.7756983245484,-1596.5810251722055
-469.46310393973266,-933.362805665941,-1786.5932562265268
-448.71314775387407,-772.2640383958155,-1291.4998274041122
-466.61944410032646,-711.5385154755584,-1682.4226328247705
-510.58502561570174,-714.6748418430063,-1675.9634748584722
-342.6397824715482,-904.6722697503463,-1355.9771539040416
-407.18846280122455,-897.2519860029597,-1254.8827361509057
-428.46370672847513,-757.3591967584174,-1255.9138226419147
-497.6547772168589,-897.4577462179832,-1516.6620629366448
-455.6995563615116,-993.1514348252908,-1550.0841282527754
-369.26246668911574,-911.2989294463978,-1400.7197167489887
-462.38404055714796,-881.5705733596599,-1306.0818909043583
-451.230663123855,-784.2260876840189,-1651.6190989622742
-491.42682202851176,-867.7400767092702,-1321.0873502727795
-456.05984818400015,-840.8025846322673,-1449.5399697931293
-506.9123362425235,-949.177977881531,-1516.5435835866315
-452.09993588135717,-882.545494876125,-1316.1544304874608
-439.02103676113285,-937.366640781904,-1231.6112645971548
-410.265387138494,-784.6846564893981,-1734.507147628264
-493.8478145857926,-789.9835080372245,-1503.2066865393242
-462.3558534845183,-644.1117682522732,-1594.1920951671113
-377.0851091914624,-906.9099954200431,-1249.6046383591824
-377.8891110850353,-925.9726116126504,-1552.323703869392
-467.60325505570756,-842.2469902134773,-1430.3542176546619
-437.28344675149486,-984.7583713589902,-1633.8747142018522
-486.71952639316333,-960.3082757515535,-1496.629267186356
-493.93305462119775,-947.9134012770514,-1806.8846408199192
-489.52960528577165,-810.083337912032,-1385.7814982761215
-438.41358619101806,-910.4707530643461,-1072.612270719979
-492.3131915813507,-866.2277492805774,-1740.1777897652707
-292.36977892719574,-855.9643952213412,-1131.374312234716
-417.2944244795065,-913.602868646809,-1329.1085442149365
-476.3487527274201,-848.8690955254299,-1235.4494403371655
-405.23056252302945,-799.0268395634776,-1559.5966629536856
-437.87295851887706,-712.5115127652384,-1442.9746803292899
-464.05643104056685,-716.0035918452425,-1136.958418728444
-481.73848552715276,-1009.2446602096513,-1219.169807214152
-482.1843782031425,-751.7518907438669,-1885.3065437703299
-437.0896214861302,-731.314153681823,-1471.309884210047
-468.1196505896621,-879.2146823996352,-1623.7159439295274
-474.93841472709516,-911.9693158131523,-1492.6361704430683
-486.916723909822,-1004.2336999732177,-1498.9204797718417
-423.4896029642395,-838.1824940812633,-1476.0182780839605
-434.95358384897287,-796.3172491930266,-1422.202686511164
-491.42680486974007,-781.4420959139751,-1284.9089274186872
-401.7051387407273,-790.9215013999059,-1240.3724255026611
-455.58274840558414,-784.4715484113242,-1482.572845419117
-441.05937638762515,-558.8854296004372,-1238.0786983772316
-400.73040338956935,-896.4871785350715,-1151.773570359751
-461.2789587703066,-703.7692885846562,-1162.7549380754972
-387.07300195083394,-715.1741773365602,-1398.778741780328
